Five-Digit ZIP Code	Year	Annual Change (%)	HPI	HPI with 1990 base	HPI with 2000 base
01001	1985	.	100.00	61.67	60.80
01001	1986	14.44	114.44	70.58	69.57
01001	1987	21.19	138.69	85.54	84.32
01001	1988	17.65	163.18	100.64	99.20
01001	1989	0.77	164.44	101.42	99.97
01001	1990	-1.40	162.14	100.00	98.57
01001	1991	-5.98	152.45	94.02	92.68
01001	1992	-1.16	150.67	92.93	91.60
01001	1993	0.18	150.94	93.09	91.77
01001	1994	-2.56	147.07	90.71	89.42
01001	1995	1.46	149.23	92.04	90.72
01001	1996	0.55	150.05	92.54	91.22
01001	1997	-1.44	147.89	91.21	89.91
01001	1998	4.61	154.70	95.41	94.05
01001	1999	1.71	157.34	97.04	95.66
01001	2000	4.54	164.49	101.45	100.00
01001	2001	6.22	174.72	107.76	106.22
01001	2002	8.20	189.05	116.60	114.94
01001	2003	8.64	205.39	126.67	124.87
01001	2004	11.90	229.82	141.74	139.72
01001	2005	17.02	268.94	165.87	163.51
01001	2006	3.50	278.37	171.68	169.24
01001	2007	-0.95	275.73	170.06	167.63
01001	2008	-0.38	274.70	169.42	167.00
01001	2009	-3.66	264.63	163.21	160.88
01001	2010	-2.30	258.54	159.45	157.18
01001	2011	-2.62	251.76	155.27	153.06
01001	2012	-5.14	238.82	147.29	145.19
01001	2013	1.34	242.03	149.27	147.14
01001	2014	1.10	244.69	150.91	148.76
01001	2015	1.42	248.16	153.05	150.87
01002	1983	.	100.00	52.66	43.45
01002	1984	16.34	116.34	61.26	50.55
01002	1985	5.23	122.42	64.47	53.19
01002	1986	15.46	141.35	74.43	61.42
01002	1987	27.80	180.65	95.12	78.49
01002	1988	7.78	194.70	102.52	84.60
01002	1989	3.51	201.53	106.12	87.57
01002	1990	-5.77	189.91	100.00	82.52
01002	1991	-3.41	183.44	96.59	79.71
01002	1992	-0.70	182.16	95.92	79.15
01002	1993	-0.39	181.45	95.55	78.84
01002	1994	2.38	185.77	97.82	80.72
01002	1995	-2.21	181.65	95.65	78.93
01002	1996	1.60	184.57	97.19	80.20
01002	1997	5.63	194.95	102.66	84.71
01002	1998	0.90	196.71	103.58	85.47
01002	1999	5.23	207.01	109.00	89.95
01002	2000	11.18	230.15	121.19	100.00
01002	2001	4.58	240.68	126.74	104.58
01002	2002	8.54	261.23	137.56	113.51
01002	2003	9.96	287.25	151.26	124.81
01002	2004	13.10	324.88	171.07	141.16
01002	2005	12.97	367.02	193.26	159.47
01002	2006	2.90	377.66	198.87	164.10
01002	2007	0.77	380.58	200.40	165.36
